Epoch,Generator Loss,Discriminator Loss
495,-1.0657,-0.0769
496,-1.1953,-1.0509
497,-1.0402,0.8442
498,-0.6205,-1.2436
499,-0.7351,-0.4888
500,-1.0075,-0.3106
501,-1.0469,0.0109
502,-0.564,0.1003
503,-0.7817,-0.3736
504,-1.4591,-0.2235
505,-1.4995,-0.3606
506,-0.903,-0.5863
507,-0.5562,-0.2568
508,-0.461,0.0078
509,-0.6796,-0.4591
510,-1.1379,-0.318
511,-0.796,0.4169
512,-0.7147,-0.0375
513,-1.5227,-0.3687
514,-1.2829,-0.5476
515,-0.6865,-0.2121
516,-1.6231,-0.6394
517,-1.0354,-0.1267
518,-0.5143,-0.2108
519,-0.5957,-0.5606
520,-0.8989,-0.1645
521,-1.6332,-0.2512
522,-1.1226,-0.3994
523,-1.443,-0.793
524,-1.375,-0.9238
525,-1.8536,-0.755
526,-1.8646,-0.1201
527,-1.2794,-0.4429
528,-1.7571,-0.3948
529,-1.2476,-0.269
530,-0.6509,0.9039
531,-0.9903,-0.1588
532,-0.9803,-0.2676
533,-1.2776,0.0614
534,-0.688,-0.4918
535,-0.1958,0.4757
536,-1.1812,1.0346
537,-0.7366,-0.0843
538,-1.2411,-0.6347
539,-1.2519,0.0273
540,-1.2584,-0.1775
541,-0.8329,-0.6513
542,-0.8587,-0.2553
543,-1.3288,0.261
544,-1.0015,-1.15
545,-1.6198,0.1511
546,-0.3279,-0.4909
547,-0.7331,0.0004
548,-1.1476,-0.2805
549,-0.9602,0.6998
550,-0.6352,-1.0456
551,-1.8904,0.5912
552,-0.8919,0.1228
553,-0.6131,-0.7101
554,-0.8393,-0.4841
555,-1.1967,0.1432
556,-0.743,-0.4913
557,-1.2576,0.0568
558,-1.3134,-0.1634
559,-0.7072,-1.0672
560,-1.1173,-0.3812
561,-0.7277,-0.9636
562,-1.6555,-0.3245
563,-1.284,0.277
564,-0.9923,0.4554
565,-1.254,-0.3288
566,-1.1773,-0.366
567,-1.2946,-0.4463
568,-1.0431,-0.4768
569,-1.4969,-0.6162
570,-0.9366,1.0021
571,-1.8815,-0.1636
572,-0.6855,0.5009
573,-0.9208,-0.2771
574,-1.2859,-0.6921
575,-0.8636,-0.4003
