,Epoch,Generator Loss,Discriminator Loss
510,511,-2.0047,-0.7572
511,512,-1.6794,-0.5175
512,513,-1.7119,-0.3621
513,514,-1.9309,-0.5086
514,515,-1.905,-0.1721
515,516,-1.7288,-0.2447
516,517,-2.0271,0.2706
517,518,-1.4105,-0.3423
518,519,-1.7806,-0.2905
519,520,-1.7403,-0.137
520,521,-1.8297,-0.432
521,522,-1.2283,-0.4438
522,523,-1.4063,-0.7429
523,524,-1.3786,-0.4267
524,525,-0.9094,-0.3809
525,526,-1.2996,-0.9222
526,527,-1.2859,0.1141
527,528,-1.2389,-0.1254
528,529,-1.6105,-0.1393
529,530,-1.3564,-0.1267
530,531,-1.3915,-0.6417
531,532,-0.9683,-0.6311
532,533,-1.3973,0.37
533,534,-1.1353,0.5525
534,535,-1.68,-0.1724
535,536,-1.1079,-0.0856
536,537,-0.9843,-0.8066
537,538,-1.4299,-0.6833
538,539,-1.7024,-0.093
539,540,-1.0016,-0.8024
540,541,-1.3536,0.4004
541,542,-1.0942,0.3944
542,543,-1.3015,-0.2387
543,544,-1.7625,-0.0031
544,545,-1.4987,-0.1115
545,546,-0.9737,-0.0147
546,547,-1.6701,-0.8874
547,548,-1.7524,-0.4335
548,549,-1.4438,-0.0769
549,550,-1.736,-0.0898
550,551,-0.6971,-0.4648
551,552,-1.2124,-0.5526
552,553,-1.5474,-1.2672
553,554,-1.5718,-0.1863
554,555,-2.1884,-0.1185
555,556,-1.1021,-0.4076
556,557,-1.2478,-0.0314
557,558,-1.1493,-0.0941
558,559,-0.9589,-0.5495
559,560,-0.3031,0.1817
560,561,-1.3707,-0.9483
561,562,-0.4743,-0.942
562,563,-1.4284,-0.3663
563,564,-1.4816,-0.5624
564,565,-1.3495,-0.7545
565,566,-1.2227,-1.321
566,567,-1.1832,-0.4372
567,568,-0.8377,-0.3866
568,569,-1.4242,-0.3461
569,570,-1.0272,-0.3224
570,571,-0.683,-0.6577
571,572,-1.2966,0.0236
572,573,-1.0753,-0.3431
573,574,-1.4243,-0.8944
574,575,-1.3582,-0.4147
575,576,-1.9241,-0.6812
576,577,-1.3237,-0.0788
577,578,-0.6412,-0.4872
578,579,-1.7832,0.0091
579,580,-1.4694,0.0709
580,581,-1.2036,-0.6469
581,582,-1.1699,0.3137
582,583,-0.5245,-0.536
583,584,-1.3766,-0.1757
584,585,-0.643,-0.2897
585,586,-0.7994,-0.5097
586,587,-0.7412,-0.2558
587,588,-0.2631,-0.3068
588,589,-0.7951,-1.081
589,590,-0.6556,-0.4051
590,591,-0.585,-0.1737
591,592,-1.3205,-0.6629
592,593,-0.9305,-0.2326
593,594,-0.7825,-0.2726
594,595,-0.2748,-0.4531
595,596,-0.8232,0.4989
596,597,-1.2269,-0.6939
597,598,-0.8536,-0.6937
598,599,-1.2512,-0.0743
599,600,-1.0323,0.3049
600,601,-0.7472,-0.6611
601,602,-0.7404,-0.3371
602,603,-1.1768,-0.5014
603,604,-0.9061,-0.3141
604,605,-0.7613,-0.114
605,606,-0.0911,-0.7166
606,607,-0.9164,-0.6869
607,608,-0.7994,-0.2216
608,609,-0.632,-0.459
609,610,-0.4509,0.3313
610,611,-0.4238,-0.9561
611,612,-0.724,-0.7959
612,613,-0.5482,-0.6509
613,614,-0.9586,-1.0264
614,615,-0.7488,-0.4257
615,616,-0.7363,0.1534
616,617,0.0728,-1.2181
617,618,-0.379,-0.0926
618,619,-0.3794,-0.3472
619,620,-0.7216,-0.6192
620,621,-0.5065,0.3704
621,622,-0.5657,-0.0698
622,623,-1.324,0.502
623,624,-0.7221,-0.5003
624,625,-0.7013,-0.2921
625,626,-0.9641,-0.6369
626,627,-0.2966,-0.3234
627,628,-0.2676,0.0706
628,629,-0.6591,-0.3895
629,630,-0.4021,-0.2163
630,631,-0.8772,-1.2993
631,632,-0.0286,-0.1416
632,633,-0.5799,-0.526
633,634,-0.8528,-0.5388
634,635,-0.9817,-0.5825
635,636,-0.6272,0.1684
636,637,-0.9137,-0.5304
637,638,-0.7712,-0.4722
638,639,-0.9433,-0.6281
639,640,-1.6056,-1.4787
640,641,-0.7798,-0.0498
641,642,-0.5599,-0.452
642,643,-0.9525,-0.2879
643,644,-0.7158,-0.3908
644,645,-0.3943,-0.1279
645,646,-0.3298,-0.0218
646,647,-0.0111,-0.4347
647,648,-0.0783,0.09
648,649,-0.2426,-0.4857
649,650,-0.1502,-1.0135
650,651,-0.5269,-0.4599
651,652,-0.6642,-0.2556
652,653,0.0153,-0.24
653,654,-0.5514,-1.0225
654,655,-0.4741,-1.0475
655,656,-0.767,-0.4576
656,657,0.0743,-0.7759
657,658,-0.2731,-0.2066
658,659,-0.2128,0.3281
659,660,-0.7732,-0.6341
660,661,-0.1752,-0.5312
661,662,-0.4746,-0.8233
662,663,-0.172,-0.6101
663,664,-0.9053,-0.1669
664,665,-0.4675,0.2157
665,666,-0.0181,-0.8594
666,667,-0.1333,-0.3779
667,668,-0.2957,-0.5499
668,669,0.4248,-1.3262
669,670,-0.8119,-0.648
670,671,-0.5658,-0.1885
671,672,-0.8568,-0.3734
672,673,-0.7864,-0.0742
673,674,-0.7598,-0.1364
674,675,-0.5436,-0.7948
675,676,-0.9924,-1.0153
676,677,-0.6729,-0.2588
677,678,-1.1057,-1.1463
678,679,-1.1712,-0.4069
679,680,-0.8364,-0.0106
680,681,-0.6131,-0.8724
681,682,-0.8034,-0.3181
682,683,-0.2083,-0.9421
683,684,-0.563,-0.6171
684,685,0.052,-0.6922
685,686,-0.0028,-1.6439
686,687,-0.1474,-0.5158
687,688,-0.3607,-1.5296
688,689,-0.322,-0.7579
689,690,0.0527,-0.9038
690,691,0.0867,-0.552
691,692,-0.4402,-0.9091
692,693,-0.7213,-1.1965
693,694,-0.383,0.2789
694,695,-0.0536,-1.0023
695,696,0.2815,-1.222
696,697,0.2145,-0.6449
697,698,0.1499,-0.2635
698,699,-0.1861,-0.4846
699,700,0.295,0.0283
700,701,-0.5443,-0.993
701,702,-0.2913,-0.7745
702,703,-0.0164,-0.4387
703,704,-0.5978,-0.9046
704,705,-0.0581,-0.4725
705,706,-1.16,-0.4522
706,707,-0.4637,-0.6263
707,708,0.0056,-1.2477
708,709,-0.0312,-0.2749
709,710,-0.2286,-0.1041
710,711,0.5977,-0.3936
711,712,-0.1307,-0.1961
712,713,-0.1055,-0.333
713,714,-0.2401,-0.1853
714,715,-0.4193,0.3311
715,716,-0.8967,-0.9401
716,717,-0.1869,-0.9736
717,718,-0.5543,-0.3611
718,719,-0.2039,0.0178
719,720,-0.3918,-0.4042
720,721,-0.3379,0.1126
721,722,0.0127,-0.9566
722,723,-0.5888,-0.3477
723,724,0.2538,-0.0958
724,725,-0.2929,-0.1664
725,726,-0.0334,-0.1467
726,727,-0.1088,-0.3446
727,728,0.2071,-0.5289
728,729,0.2959,-0.2044
729,730,-0.6933,-0.5247
730,731,-0.6203,-0.2399
731,732,-0.1502,-1.3206
732,733,0.1881,-0.9301
733,734,-0.6269,-0.4099
734,735,-0.4855,-0.7002
735,736,-0.2868,-0.4812
736,737,0.3288,-0.0994
737,738,-0.5877,0.1681
738,739,-0.1872,-0.7474
739,740,0.3776,-0.8208
740,741,-0.3811,-1.2456
741,742,-0.8201,-0.6549
742,743,-0.7325,-1.7665
743,744,-0.3702,0.0305
744,745,-0.2768,-0.2993
745,746,-0.1369,-0.5648
746,747,-0.3536,-0.2229
747,748,-0.6369,-0.0052
748,749,-0.2667,-0.8055
749,750,-0.6011,-0.2979
750,751,-0.8107,-0.8723
751,752,-0.223,-0.3142
752,753,-0.2745,-0.9831
753,754,-0.1147,-1.1291
754,755,0.2944,-1.1495
755,756,0.0422,-1.3127
756,757,-0.497,-0.8915
757,758,0.0124,-1.2478
758,759,-0.5115,-1.0634
759,760,-0.169,-0.4385
760,761,-0.732,-0.7499
761,762,0.1386,-0.8658
762,763,-0.2041,-1.3771
763,764,0.0311,-0.3722
764,765,-0.4143,-1.2797
765,766,-0.6645,-0.1941
766,767,-0.2839,-0.4005
767,768,-0.271,-0.6804
768,769,-0.324,-0.7594
769,770,0.1689,-1.5442
770,771,0.2154,-1.0218
771,772,-0.5722,-0.8674
772,773,0.0868,-0.2043
773,774,-0.6575,-1.0583
774,775,-0.2723,-0.8778
775,776,0.1276,-0.3642
776,777,0.3909,-0.5795
777,778,0.3462,-0.7253
778,779,0.0883,-0.5948
779,780,-0.7716,-0.5361
780,781,0.2071,-0.3423
781,782,-0.3606,-0.7196
782,783,-0.2473,-0.4891
783,784,0.1876,-0.3874
784,785,0.2504,-0.028
785,786,-0.1267,-0.7544
786,787,0.0508,-0.8163
787,788,-0.3182,-0.6827
788,789,-0.3049,-0.6629
789,790,0.08,0.6653
790,791,-0.0077,-0.1635
791,792,-0.5197,0.0206
792,793,-0.668,-0.208
793,794,-0.1418,-0.7608
794,795,-0.3992,-1.498
795,796,-0.4594,-0.5592
796,797,-0.3763,0.189
797,798,-0.1961,-0.4925
798,799,-1.0173,-0.0101
799,800,-0.3033,-0.8973
