Epoch,Generator Loss,Discriminator Loss
315,-0.946,-0.1105
316,-1.2602,-0.2587
317,-1.1195,-0.5138
318,-1.2629,0.576
319,-1.4012,0.9739
320,-0.787,1.0264
321,-0.4796,-0.2822
322,-1.1074,-0.3913
323,-1.6532,0.0662
324,-1.6682,0.074
325,-1.7417,0.0937
326,-1.5888,-0.8339
327,-1.036,-1.3374
328,-1.7607,0.2732
329,-1.866,-0.1725
330,-1.6043,0.9711
331,-1.4144,-0.0233
332,-1.297,-0.6078
333,-1.6851,-0.7086
334,-2.185,0.1023
335,-0.9924,0.1929
336,-1.1484,0.1402
337,-2.156,-0.5554
338,-0.8921,0.577
339,-0.3615,0.2245
340,-0.9517,0.1062
341,-1.3049,-0.9647
342,-1.2581,0.1734
343,-0.9199,-0.4778
344,-1.2827,0.0148
345,-1.5273,0.8595
346,-1.692,-0.3208
347,-1.4992,-0.2875
348,-0.6558,-0.0265
349,-1.6028,0.6551
350,-0.1145,0.0425
351,-1.333,0.1917
352,-0.2658,-0.441
353,-0.6047,0.1043
354,-0.4905,-1.0971
355,-0.8927,-0.4719
356,-1.4335,0.3233
357,-1.0312,-0.9839
358,-0.9756,0.2976
359,-1.2587,0.524
360,-1.3153,0.3538
361,-1.5899,-1.1011
362,-0.9532,-0.0791
363,-1.005,-0.4053
364,-0.8202,0.6399
365,-1.3834,0.0724
366,-1.3507,-0.2658
367,-1.5023,1.1756
368,-0.9917,0.9745
369,-1.1782,-0.0778
370,-1.0728,0.4293
371,0.0686,0.3982
372,-0.4085,-0.6667
373,0.0572,1.0145
374,-0.5777,-0.9744
375,-0.3694,-0.0294
376,-0.8641,-0.1192
377,0.3539,0.2767
378,0.09,-0.9001
379,-1.0124,0.2606
380,-0.3479,0.7466
381,-0.5713,0.6575
382,-0.9756,-0.2243
383,-0.828,-0.182
384,-0.8548,-0.066
385,-0.2226,0.3178
386,-0.9349,0.21
387,0.1435,-0.3367
388,-0.0129,0.1795
389,-0.3405,-0.2002
390,-1.0705,-0.5381
391,-1.2182,0.7253
392,-0.3866,-0.0574
393,-0.4061,-0.8976
394,-0.311,0.2444
395,-0.4417,0.0138
396,-0.3629,-0.2588
397,-0.8848,1.503
398,-0.1702,-2.2935
399,-1.0821,-0.0541
400,-0.5287,0.7978
